Björköby  Vetlanda;kommun; Jönköpings;län;;;
Björna  Örnsköldsviks;kommun; Västernorrlands;län;;;
Björneborg  Kristinehamns;kommun; Värmlands;län;;;
Björnlunda  Gnesta;kommun; Södermanlands;län;;;
Blåsmark  Piteå;kommun; Norrbottens;län;;;
Blåviksjön  Lycksele;kommun; Västerbottens;län;;;
Blackstad  Västerviks;kommun; Kalmar;län;;;
Blankaholm  Västerviks;kommun; Kalmar;län;;;
Blattnicksele  Sorsele;kommun; Västerbottens;län;;;
Bleket  Tjörns;kommun; Västra;Götalands;län;;
Blentarp  Sjöbo;kommun; Skåne;län;;;
Blidsberg  Ulricehamns;kommun; Västra;Götalands;län;;
Blidö  Norrtälje;kommun; Stockholms;län;;;
Blomstermåla  Mönsterås;kommun; Kalmar;län;;;
Bockara  Oskarshamns;kommun; Kalmar;län;;;
Boda;Glasbruk  Emmaboda;kommun; Kalmar;län;;
Boda;Kyrkby  Rättviks;kommun; Dalarnas;län;;
Bodafors  Nässjö;kommun; Jönköpings;län;;;
Boden  Bodens;kommun; Norrbottens;län;;;
Bograngen  Torsby;kommun; Värmlands;län;;;
Bohus  Ale;kommun; Västra;Götalands;län;;
Bohus-Björkö  Öckerö;kommun; Västra;Götalands;län;;
Bohus-Malmön  Sotenäs;kommun; Västra;Götalands;län;;
Boliden  Skellefteå;kommun; Västerbottens;län;;;
Bollebygd  Bollebygds;kommun; Västra;Götalands;län;;
Bollnäs  Bollnäs;kommun; Gävleborgs;län;;;
Bollstabruk  Kramfors;kommun; Västernorrlands;län;;;
Bolmsö  Ljungby;kommun; Kronobergs;län;;;
Bonässund  Örnsköldsviks;kommun; Västernorrlands;län;;;
Bor  Värnamo;kommun; Jönköpings;län;;;
Borensberg  Motala;kommun; Östergötlands;län;;;
Borgafjäll  Dorotea;kommun; Västerbottens;län;;;
Borghamn  Vadstena;kommun; Östergötlands;län;;;
Borgholm  Borgholms;kommun; Kalmar;län;;;
Borgstena  Borås;kommun; Västra;Götalands;län;;
Borgvik  Grums;kommun; Värmlands;län;;;
Borlänge  Borlänge;kommun; Dalarnas;län;;;
Borrby  Simrishamns;kommun; Skåne;län;;;
Borås  Borås;kommun; Västra;Götalands;län;;
Botsmark  Umeå;kommun; Västerbottens;län;;;
Bottnaryd  Jönköpings;kommun; Jönköpings;län;;;
Bovallstrand  Sotenäs;kommun; Västra;Götalands;län;;
Boxholm  Boxholms;kommun; Östergötlands;län;;;
Braås  Växjö;kommun; Kronobergs;län;;;
Brandbergen  Haninge;kommun; Stockholms;län;;;
Brandstorp  Habo;kommun; Jönköpings;län;;;
Brantevik  Simrishamns;kommun; Skåne;län;;;
Brastad  Lysekils;kommun; Västra;Götalands;län;;
Bredared  Borås;kommun; Västra;Götalands;län;;
Bredaryd  Värnamo;kommun; Jönköpings;län;;;
Bredbyn  Örnsköldsviks;kommun; Västernorrlands;län;;;
Brevens;Bruk  Örebro;kommun; Örebro;län;;
Bro  Upplands-Bro;kommun; Stockholms;län;;;
Broakulla  Emmaboda;kommun; Kalmar;län;;;
Broaryd  Gislaveds;kommun; Jönköpings;län;;;
Broby  Östra;Göinge;kommun; Skåne;län;;
Broddetorp  Falköpings;kommun; Västra;Götalands;län;;
Brokind  Linköpings;kommun; Östergötlands;län;;;
Bromma  Stockholms;kommun; Stockholms;län;;;
Bromölla  Bromölla;kommun; Skåne;län;;;
Brottby  Vallentuna;kommun; Stockholms;län;;;
Bruksvallarna  Härjedalens;kommun; Jämtlands;län;;;
Brunflo  Östersunds;kommun; Jämtlands;län;;;
Brunskog  Arvika;kommun; Värmlands;län;;;
Bruzaholm  Eksjö;kommun; Jönköpings;län;;;
Brålanda  Vänersborgs;kommun; Västra;Götalands;län;;
Bräcke  Bräcke;kommun; Jämtlands;län;;;
Bräkne-Hoby  Ronneby;kommun; Blekinge;län;;;
Brämhult  Borås;kommun; Västra;Götalands;län;;
Brännö  Göteborgs;kommun; Västra;Götalands;län;;
Brösarp  Tomelilla;kommun; Skåne;län;;;
Bua  Varbergs;kommun; Hallands;län;;;
Bullaren  Tanums;kommun; Västra;Götalands;län;;
Bullmark  Umeå;kommun; Västerbottens;län;;;
Bunkeflostrand  Malmö;kommun; Skåne;län;;;
Bureå  Skellefteå;kommun; Västerbottens;län;;;
Burgsvik  Gotlands;kommun; Gotlands;län;;;
Burseryd  Gislaveds;kommun; Jönköpings;län;;;
Burträsk  Skellefteå;kommun; Västerbottens;län;;;
By;Kyrkby  Avesta;kommun; Dalarnas;län;;
Bygdeå  Robertsfors;kommun; Västerbottens;län;;;
Bygdsiljum  Skellefteå;kommun; Västerbottens;län;;;
Byske  Skellefteå;kommun; Västerbottens;län;;;
Byxelkrok  Borgholms;kommun; Kalmar;län;;;
Bålsta  Håbo;kommun; Uppsala;län;;;
Båstad  Båstads;kommun; Skåne;län;;;
Båtskärsnäs  Kalix;kommun; Norrbottens;län;;;
Bäckefors  Bengtsfors;kommun; Västra;Götalands;län;;
Bälinge  Uppsala;kommun; Uppsala;län;;;
Charlottenberg  Eda;kommun; Värmlands;län;;;
Dösjebro  Kävlinge;kommun; Skåne;län;;;
Dala-Floda  Gagnefs;kommun; Dalarnas;län;;;
Dala-Husby  Hedemora;kommun; Dalarnas;län;;;
Dala-Järna  Vansbro;kommun; Dalarnas;län;;;
Dalarö  Haninge;kommun; Stockholms;län;;;
Dalby  Lunds;kommun; Skåne;län;;;
Dalhem  Gotlands;kommun; Gotlands;län;;;
Dals;Långed  Bengtsfors;kommun; Västra;Götalands;län;
Dals;Rostock  Melleruds;kommun; Västra;Götalands;län;
Dalsjöfors  Borås;kommun; Västra;Götalands;län;;
Dalskog  Melleruds;kommun; Västra;Götalands;län;;
Dalstorp  Tranemo;kommun; Västra;Götalands;län;;
Dalum  Ulricehamns;kommun; Västra;Götalands;län;;
Danderyd  Danderyds;kommun; Stockholms;län;;;
Dannike  Borås;kommun; Västra;Götalands;län;;
Degeberga  Kristianstads;kommun; Skåne;län;;;
Degerfors  Degerfors;kommun; Örebro;län;;;
Degerhamn  Mörbylånga;kommun; Kalmar;län;;;
Deje  Forshaga;kommun; Värmlands;län;;;
Delsbo  Hudiksvalls;kommun; Gävleborgs;län;;;
Diö  Älmhults;kommun; Kronobergs;län;;;
Dikanäs  Vilhelmina;kommun; Västerbottens;län;;;
Dingle  Munkedals;kommun; Västra;Götalands;län;;
Djura  Leksands;kommun; Dalarnas;län;;;
Djurhamn  Värmdö;kommun; Stockholms;län;;;
Djurmo  Gagnefs;kommun; Dalarnas;län;;;
Djursholm  Danderyds;kommun; Stockholms;län;;;
Djurås  Gagnefs;kommun; Dalarnas;län;;;
Docksta  Kramfors;kommun; Västernorrlands;län;;;
Domsjö  Örnsköldsviks;kommun; Västernorrlands;län;;;
Donsö  Göteborgs;kommun; Västra;Götalands;län;;
Dorotea  Dorotea;kommun; Västerbottens;län;;;
Drottningholm  Ekerö;kommun; Stockholms;län;;;
Drottningskär  Karlskrona;kommun; Blekinge;län;;;
Duved  Åre;kommun; Jämtlands;län;;;
Dvärsätt  Krokoms;kommun; Jämtlands;län;;;
Dyltabruk  Örebro;kommun; Örebro;län;;;
Dyrön  Tjörns;kommun; Västra;Götalands;län;;
Ed  Dals-Eds;kommun; Västra;Götalands;län;;
Edane  Arvika;kommun; Värmlands;län;;;
Edsbro  Norrtälje;kommun; Stockholms;län;;;
Edsbruk  Västerviks;kommun; Kalmar;län;;;
Edsbyn  Ovanåkers;kommun; Gävleborgs;län;;;
Edsele  Sollefteå;kommun; Västernorrlands;län;;;
Edsvalla  Karlstads;kommun; Värmlands;län;;;
Ekeby  Bjuvs;kommun; Skåne;län;;;
Ekenässjön  Vetlanda;kommun; Jönköpings;län;;;
Ekerö  Ekerö;kommun; Stockholms;län;;;
Eket  Örkelljunga;kommun; Skåne;län;;;
Ekolsund  Enköpings;kommun; Uppsala;län;;;
Ekshärad  Hagfors;kommun; Värmlands;län;;;
Eksjö  Eksjö;kommun; Jönköpings;län;;;
Eldsberga  Halmstads;kommun; Hallands;län;;;
Ellös  Orusts;kommun; Västra;Götalands;län;;
Emmaboda  Emmaboda;kommun; Kalmar;län;;;
Enebyberg  Danderyds;kommun; Stockholms;län;;;
Eneryda  Älmhults;kommun; Kronobergs;län;;;
Enhörna  Södertälje;kommun; Stockholms;län;;;
Enköping  Enköpings;kommun; Uppsala;län;;;
Enskede  Stockholms;kommun; Stockholms;län;;;
Enskede;Gård  Stockholms;kommun; Stockholms;län;;
Enskededalen  Stockholms;kommun; Stockholms;län;;;
Enstaberga  Nyköpings;kommun; Södermanlands;län;;;
Enviken  Falu;kommun; Dalarnas;län;;;
Enånger  Hudiksvalls;kommun; Gävleborgs;län;;;
Erikslund  Ånge;kommun; Västernorrlands;län;;;
Eriksmåla  Emmaboda;kommun; Kalmar;län;;;
Eringsboda  Ronneby;kommun; Blekinge;län;;;
Ersmark  Skellefteå;kommun; Västerbottens;län;;;
Ervalla  Örebro;kommun; Örebro;län;;;
Eskilstuna  Eskilstuna;kommun; Södermanlands;län;;;
Eslöv  Eslövs;kommun; Skåne;län;;;
Everöd  Kristianstads;kommun; Skåne;län;;;
Fagerfjäll  Tjörns;kommun; Västra;Götalands;län;;
Fagerås  Kils;kommun; Värmlands;län;;;
Fagerhult  Högsby;kommun; Kalmar;län;;;
Fagersanna  Tibro;kommun; Västra;Götalands;län;;
Fagersta  Fagersta;kommun; Västmanlands;län;;;
Fagervik  Timrå;kommun; Västernorrlands;län;;;
Falkenberg  Falkenbergs;kommun; Hallands;län;;;
Falköping  Falköpings;kommun; Västra;Götalands;län;;
Falsterbo  Vellinge;kommun; Skåne;län;;;
Falun  Falu;kommun; Dalarnas;län;;;
Farhult  Höganäs;kommun; Skåne;län;;;
Farsta  Stockholms;kommun; Stockholms;län;;;
Fegen  Falkenbergs;kommun; Hallands;län;;;
Fellingsbro  Lindesbergs;kommun; Örebro;län;;;
Fengersfors  Åmåls;kommun; Västra;Götalands;län;;
Figeholm  Oskarshamns;kommun; Kalmar;län;;;
Filipstad  Filipstads;kommun; Värmlands;län;;;
Finja  Hässleholms;kommun; Skåne;län;;;
Finnerödja  Laxå;kommun; Örebro;län;;;
Finspång  Finspångs;kommun; Östergötlands;län;;;
Fiskebäckskil  Lysekils;kommun; Västra;Götalands;län;;
Fjugesta  Lekebergs;kommun; Örebro;län;;;
Fjälkinge  Kristianstads;kommun; Skåne;län;;;
Fjällbacka  Tanums;kommun; Västra;Götalands;län;;
Fjärdhundra  Enköpings;kommun; Uppsala;län;;;
Fjärås  Kungsbacka;kommun; Hallands;län;;;
Flarken  Robertsfors;kommun; Västerbottens;län;;;
Flen  Flens;kommun; Södermanlands;län;;;
Fleninge  Helsingborgs;kommun; Skåne;län;;;
Flisby  Nässjö;kommun; Jönköpings;län;;;
Fliseryd  Mönsterås;kommun; Kalmar;län;;;
Floby  Falköpings;kommun; Västra;Götalands;län;;
Floda  Lerums;kommun; Västra;Götalands;län;;
Flyinge  Eslövs;kommun; Skåne;län;;;
Folkärna  Avesta;kommun; Dalarnas;län;;;
Fornåsa  Motala;kommun; Östergötlands;län;;;
Fors  Avesta;kommun; Dalarnas;län;;;
Forsa  Hudiksvalls;kommun; Gävleborgs;län;;;
Forsbacka  Gävle;kommun; Gävleborgs;län;;;
Forserum  Nässjö;kommun; Jönköpings;län;;;
Forshaga  Forshaga;kommun; Värmlands;län;;;
Forsheda  Värnamo;kommun; Jönköpings;län;;;
Forsvik  Karlsborgs;kommun; Västra;Götalands;län;;
Fotskäl  Marks;kommun; Västra;Götalands;län;;
Fotö  Öckerö;kommun; Västra;Götalands;län;;
Fredrika  Åsele;kommun; Västerbottens;län;;;
Fredriksberg  Ludvika;kommun; Dalarnas;län;;;
Fredriksdal  Nässjö;kommun; Jönköpings;län;;;
Frillesås  Kungsbacka;kommun; Hallands;län;;;
Frinnaryd  Aneby;kommun; Jönköpings;län;;;
Fristad  Borås;kommun; Västra;Götalands;län;;
